CH_ID_CONFIGURATION,CH_CATEGORY,CH_TAG,CH_DESCRIPTION,CH_TITLE,NR_VALUE,CH_UNIT,CH_OBSERVATION
089f0f1d0e7e42919ad33f3e14a920f9,Default de Parâmetros de criação de cenários,TM_BOGCTE,"Tempo máximo, em segundos, de execução da simulação quando BOG constante selecionado. Ao final desse tempo o modelo irá retornar a melhor solução encontrada até o momento.",Tempo máximo de execução para BOG constante (s),600,s,
1c62d914038f46d1af487b895fa43f39,Composição da carga de GNL padrão,NC5,Percentual molar de n-pentano,n-C5,"0,01",%,
1c870480b7e842168c4cc35eed7ecd8b,Parâmetros para simulações,MAX_INVENTORY,Nível máximo do inventário.,Inventário Máx.,165285,m³GNL,
21ad3ca4b7e04b518edb65b1788c8d22,Default de Parâmetros de criação de cenários,K,Custo fixo de recebimento de carga devido à despesas com a operação STS. Incide quando há compra de carga,Custo fixo da operação STS,500000,US$,
257ee827771648c89c210c71d9758299,Parâmetros para simulações,GER_DIARIA_UTE_PSI,"Capacidade máxima de geração da UTE PS-I ",Geração Máx. UTE PS-I,1516,MW,
27420050b5fe47f0846103ac3579301e,Default de Parâmetros de criação de cenários,S0,Nível inicial do inventário,Inventário Inicial,0,m³GNL,O valor considerado é o valor mais recente da soma dos níveis dos tanques do FSRU
3184c351fdfb44be9f0d8f080ccc7686,Conversões,MWH_M3GNL,Conversão de MWh para kg. Média dos dados históricos para a razão MWh/m³GNL para a UTE-PSI . Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de m³GNL para MWh da UTE-PSI,"3,73",-,
342d7c0d1b1143e6a0a420d285d1076b,Default de Parâmetros de criação de cenários,Q2,Volume máximo para a carga SPOT.,Volume Máx. SPOT,150000,m³GNL,
40d47e83841c4f5d8e1f9e48d2651a79,Composição da carga de GNL padrão,CO2,Percentual molar de dióxido de carbono,CO2,"0,78",%,
43021964a0ea4b589318ba24738a6fb6,Conversões,KG_SM3,Conversão de Sm³ para kg. Média dos dados históricos para a razão kg/Sm³. Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de Sm³ para Kg,"0,723",-,
4eb11ad9adb6493b8d3b2209d3725141,Default de Parâmetros de criação de cenários,DW,"Peso aplicado ao custo de demanda residual, que é calculado, para cada demanda, como a quantidade de demanda não atendida por contratos indicados vezes o preço da carga spot. Quanto maior o peso, mais o otimizador irá forçar o atendimento pelos contratos indicados.",Peso Demanda Residual,10,"- ",
584748f2915149ba9cf6be402bc6ab96,Parâmetros para simulações,"TAXA_CONVERSAO_GNL_ENERGIA ",Taxa de conversão entre quantidade de energia gerada por consumo de GNL da UTE PS-I,Rendimento UTE PS-I,"3,73",MWh/m³GNL,Esse dado futuramente pode ser atualizado automaticamente de tempos em tempos de acordo com os dados históricos
58932e6f511142598238ac4aa6928f8d,Default de Parâmetros de criação de cenários,BOGCTE,"Caso selecionado, o BOG gerado irá assumir valor constante de acordo com o indicado para geração em produção, independente do status da embarcação. Caso não selecionado, o BOG irá variar em status ocioso de acordo com tanques preenchidos. A simulação com BOG constante é mais rápida.",BOG constante,1,bool,
5ccf4deb89934875bf6208a616c8981d,Conversões,MJ_KG,Conversão de kg para MJ. Média dos dados históricos para a razão MJ/Kg . Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de Kg para MJ,"54,944",-,
5dfbbdaf7a974ec9ba705c2111a26fc6,Composição da carga de GNL padrão,C6_PLUS,Percentual molar de hexano e hidrocarbonetos mais pesados,C6+,0,%,
6760079024084f62a9a04fac5948bee4,Composição da carga de GNL padrão,NC4,Percentual molar de n-butano,n-C4,"0,28",%,
69cb12c97a00477986d496eba041575f,Default de Parâmetros de criação de cenários,BG,Quantidade diária de BOG gerado considerada quando selecionada a opção de BOG constante,BOG gerado (BOG constante),100,m³GNL,
6af852cb7bbb4c66ac75bdce285f19cb,Composição da carga de GNL padrão,IC5,Percentual molar de i-pentano,i-C5,0,%,
6bf8be7a58e04f1d9dca8fccfc910126,Parâmetros para simulações,MAX_REGAS_MMSCMD,Volume máximo de regaseificação de GNL pela FSRU,Regaseificação Máx.,21,MMSCMD,
79cb2c3c544649d8bf02cf4cc7e9ee26,Composição da carga de GNL padrão,N2,Percentual molar de nitrogênio,N2,"0,58",%,
882beb72813c46b8b84b79f0a06b60c7,Default de Parâmetros de criação de cenários,SMIN_FLEX,"Quando selecionado, permitirá soluções com nível mínimo de inventário igual ao valor do parâmetro 'Inventário Min. (PROD)' menos 'Volume de Inventário Flexibilizado' em produção. Ou seja, é permitida uma flexibilização em produção equivalente ao valor do 'Volume de Inventário Flexibilizado', com penalização",Flexibilizar Inventário Mínimo (PROD),1,bool,
9093168cc74b4535a3e8648dbbb1703a,Conversões,KG_NM3,Conversão de Nm³ para kg. Média dos dados históricos para a razão kg/Nm³. Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de Nm³ para Kg,"0,711",-,
98cecd3df39349968248a6702394bfa5,Conversões,F3_M3,Parâmetro de conversão de m³ para ft³,Conversão de m³ para ft³,"35,147",-,
9ba53e52882d4059b2a3a124e57d7700,Default de Parâmetros de criação de cenários,TM_BOGLEVEL,"Tempo máximo, em segundos, de execução da simulação quando BOG constante não está selecionado. Ao final desse tempo o modelo irá retornar a melhor solução encontrada até o momento.",Tempo máximo de execução para BOG variável (s),1200,s,
9d00ff64198b4c89b4e933453a3bd5bd,Composição da carga de GNL padrão,IC4,Percentual molar de i-butano,i-C4,0,%,
9d84af6914c24c04af7e17d8a9a7d4c5,Default de Parâmetros de criação de cenários,S_MIN_PROD,Nível mínimo do inventário em PRODUCING.,Inventário Min. (PROD),20000,m³GNL,
a9e4221e695e412fa25259ecd84df54f,Default de Parâmetros de criação de cenários,S_MIN_IDLE,Nível mínimo do inventário em IDLE.,Inventário Min. (IDLE),10000,m³GNL,
ad7c3e02fd3041a1a283fdbc4de9dbee,Default de Parâmetros de criação de cenários,SW,"Peso aplicado ao custo de flexibilizar o inventário mínimo, que equivale ao custo de compra de uma carga spot do mesmo volume que a flexibilização. Quanto maior o peso, menos o otimizador irá flexibilizar o inventário mínimo e vice versa. ",Peso de Flexibilização do Inventário Mínimo,"0,1",-,
bf575ab754324d129c6ad6bd5894857a,Default de Parâmetros de criação de cenários,H,Taxa aplicada ao estoque para evitar o acúmulo de GNL. O valor multiplica o estoque final do dia vezes o preço de carga spot para gerar o custo de imobilização.,Taxa de imobilização de capital,1E-06,%,
c5d4f760dcc84093958a7ab4540d938f,Composição da carga de GNL padrão,C3,Percentual molar de propano,C3,"1,01",%,
cb4e32d7f2ab4553b41ef1d88cf4cba2,Conversões,KG_M3GNL,Conversão de m³ de GNL para kg. Média dos dados históricos para a densidade do GNL em kg/m³GNL . Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de m³GNL para Kg,"438,478",-,
cbddb2a28e2e470da5355ac126ec69c6,Default de Parâmetros de criação de cenários,S_MAX,Nível máximo do inventário.,Inventário Máx.,165285,m³GNL,
cf576332edc7460b8e1c2f61081d8ee3,Default de Parâmetros de criação de cenários,Q1,"Volume mínimo sugerido para a carga SPOT. Cargas menores serão penalizadas, porém não proibidas",Volume Min. Sugerido SPOT,30000,m³GNL,
d94441d71ae84cfea0b52d21975dd131,Default de Parâmetros de criação de cenários,S_FLEX,Volume de inventário flexibilizado em relação ao 'Inventário Min. (PROD)'. A flexibilização é penalizada proporcionalmente à quantidade.,Volume de Inventário Mínimo Flexibilizado,10000,m³GNL,
de83a7bce245424c8f30e662a98b9446,Conversões,MJ_MMBTU,Parâmetro de conversão de MMBTU para MJ (razão MJ/MMBTU) . Essa conversão afeta somente dados de nível do inventário de resultados de simulações.,Conversão de MMBTU para MJ,"1055,056",-,
eb0038bbf2564562ac81839af3d1bf89,Default de Parâmetros de criação de cenários,PDEM,Custo aplicado para caso de demurrage. O valor multiplica a quantidade de dias de atraso realizada,Custo de demurrage de carga por dia,200000,US$,
ee06430f7a5d42e7b49457eb40a41be8,Composição da carga de GNL padrão,C2,Percentual molar de etano,C2,"4,32",%,
f5a8472192644f33bdf2d38111d60e75,Parâmetros para simulações,BOG_PRODUCTION,"Quantidade diária de BOG gerado considerada quando a FSRU está regaseificando ",Bog Production,100,m³GNL,
ffc3f42bf5674d878c29b12d673f5c9c,Composição da carga de GNL padrão,C1,Percentual molar de metano,C1,"92,93",%,
